date,max,min,avg
2023-01,66,28,43.5
2023-02,70,3,41.1,
2023-03,63,29,44.6
2023-04,91,37,57.6
2023-05,87,43,62.7
2023-06,91,49,70.0
2023-07,93,66,79.0
2023-08,88,63,75.0
2023-09,93,50,69.4
2023-10,83,45,60.5
2023-11,67,27,46.7
2023-12,62,25,44.6
